Feature_ID	Taxonomy
AB200930.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Odorrana;s__chloronota
AB200931.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Odorrana;s__livida
AB200932.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Hylarana;s__chalconota
AB200935.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Odorrana;s__schmackeri
AB200936.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Hylarana;s__erythraea
AB200937.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Clinotarsus;s__alticola
AB200938.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Humerana;s__miopus
AB200939.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Pulchrana;s__signata
AB200940.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Hylarana;s__nigrovittata
AB200941.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Indosylvirana;s__nicobariensis
AB200942.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Staurois;s__latopalmatus
AB201173.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Microhylidae;g__Microhyla;s__okinavensis
AB201175.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Microhylidae;g__Microhyla;s__fissipes
AB201176.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Microhylidae;g__Microhyla;s__ornata
AB201177.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Microhylidae;g__Microhyla;s__ornata
AB201179.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Microhylidae;g__Microhyla;s__heymonsi
AB201639.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Hynobiidae;g__Hynobius;s__guttatus
AB201641.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Hynobiidae;g__Hynobius;s__guttatus
AB201642.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Hynobiidae;g__Hynobius;s__guttatus
AB201643.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Hynobiidae;g__Hynobius;s__tsurugiensis
AB201644.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Hynobiidae;g__Hynobius;s__kuishiensis
